"expgender","exprace","age","sex","lab_or_online","gambfalgroup","gambfalDV","anch1group","anchoring1","anch2group","anchoring2","anch3group","anchoring3","anch4group","anchoring4"
"male","6",18,"f",0,"three_sixes",3.16227766016838,"low",NA,"high",9e+05,"high",30000,"high",10000
"male","6",19,"f",0,"three_sixes",6,"low",NA,"low",NA,"high",30000,"low",5000
"male","6",18,"f",0,"two_sixes",2.23606797749979,"low",5000,"low",4e+05,"low",5000,"high",25000
"male","6",18,"m",0,"three_sixes",2,"high",3000,"low",3e+05,"low",2400,"low",400
"male","6",18,"m",0,"two_sixes",3.46410161513775,"low",1750,"high",3500000,"low",NA,"low",156
"male","6",18,"f",0,"three_sixes",2.23606797749979,"low",NA,"low",3e+05,"low",10000,"low",NA
"male","6",18,"f",0,"two_sixes",3.16227766016838,"high",3000,"low",NA,"high",25000,"low",300
"male","6",19,"m",0,"three_sixes",3.16227766016838,"low",2000,"high",4900000,"high",43300,"high",1000
"male","6",21,"m",0,"three_sixes",1.73205080756888,"low",3000,"low",NA,"low",NA,"low",NA
"male","6",21,"f",0,"three_sixes",2.23606797749979,"low",NA,"low",250000,"high",45000,"high",35000
"male","6",18,"f",0,"two_sixes",2.23606797749979,"low",3000,"high",3e+06,"low",5000,"high",30000
"male","6",18,"f",0,"three_sixes",1.73205080756888,"low",NA,"low",1e+06,"high",45000,"high",136
"male","6",18,"f",0,"two_sixes",6,"low",NA,"low",850000,"high",35000,"high",15000
"male","6",18,"f",0,"two_sixes",6,"low",NA,"high",3e+06,"high",20000,"low",500
"male","6",18,"f",0,"two_sixes",3.16227766016838,"low",4500,"low",5e+05,"low",20000,"high",40000
"female","10",19,"f",0,"two_sixes",3.16227766016838,"low",3000,"low",3e+05,"high",35000,"low",300
"male","6",31,"f",0,"two_sixes",1.73205080756888,"high",4000,"low",200500,"high",45300,"high",45000
"male","6",23,"f",0,"two_sixes",2.44948974278318,"low",2500,"high",4200000,"low",NA,"low",NA
"male","6",18,"f",0,"three_sixes",1,"high",3000,"high",2e+06,"low",7050,"low",323
"male","6",23,"f",0,"three_sixes",1.4142135623731,"high",3000,"low",300500,"high",45000,"high",25000
"male","6",18,"f",0,"three_sixes",2,"low",NA,"low",NA,"high",37000,"low",300
"male","6",19,"f",0,"two_sixes",1,"low",2500,"low",7e+05,"low",4000,"low",353
"male","6",20,"f",0,"three_sixes",2,"low",NA,"low",NA,"low",NA,"high",35000
"male","6",20,"m",0,"two_sixes",2.23606797749979,"high",2000,"high",780000,"high",42000,"high",10000
"male","6",19,"m",0,"two_sixes",3.16227766016838,"low",1800,"low",250000,"low",NA,"high",1000
"male","6",20,"f",0,"two_sixes",10,"low",3500,"high",2e+06,"low",7000,"high",15000
"male","6",20,"f",0,"two_sixes",2.23606797749979,"high",3400,"high",425600,"high",30432,"low",563
"male","6",19,"f",0,"three_sixes",3.46410161513775,"high",2500,"high",3e+06,"low",8000,"low",NA
"male","6",20,"m",0,"two_sixes",14.6628782986152,"high",5000,"low",350000,"high",37000,"high",20000
"female","6",18,"m",0,"two_sixes",1.73205080756888,"high",5500,"high",4e+06,"high",25000,"low",NA
"female","6",19,"m",0,"three_sixes",NA,"high",3000,"high",4500000,"high",40000,"high",32000
"female","6",20,"f",0,"three_sixes",1.73205080756888,"high",3000,"high",9e+05,"high",40000,"high",25000
"female","6",22,"m",0,"three_sixes",2.44948974278318,"low",5000,"high",3200000,"low",NA,"high",20000
"female","6",18,"f",0,"two_sixes",4.24264068711928,"low",5432,"low",250000,"low",3000,"high",500
"female","6",20,"m",0,"three_sixes",2.64575131106459,"low",3000,"low",450000,"high",40000,"low",500
"female","6",19,"m",0,"two_sixes",1,"low",3000,"high",2e+06,"low",5000,"high",350
"female","6",18,"m",0,"three_sixes",NA,"low",NA,"high",2e+06,"high",5000,"low",NA
"male","6",19,"f",0,"three_sixes",1.73205080756888,"high",5000,"low",4e+05,"low",5000,"low",500
"male","6",19,"f",0,"three_sixes",3.16227766016838,"high",4000,"low",450000,"low",10000,"low",200
"male","6",19,"f",0,"two_sixes",10,"low",NA,"high",4e+06,"low",15000,"high",1000
"male","6",18,"m",0,"two_sixes",1.4142135623731,"low",2300,"high",3e+05,"low",2595,"high",35000
"male","6",19,"m",0,"two_sixes",1,"high",3000,"low",NA,"high",32000,"low",2000
"male","6",20,"f",0,"three_sixes",2.23606797749979,"high",2000,"low",3e+05,"low",3500,"high",10000
"male","6",18,"m",0,"three_sixes",1.4142135623731,"low",3000,"low",350000,"low",4500,"low",354
"male","6",23,"f",0,"two_sixes",3.87298334620742,"high",4000,"low",5e+05,"low",NA,"high",10000
"male","6",22,"m",0,"three_sixes",2.23606797749979,"high",5000,"low",7e+05,"high",13000,"high",20000
"male","6",26,"m",0,"three_sixes",3.74165738677394,"low",2600,"high",3e+06,"high",31000,"high",38000
"male","6",18,"f",0,"two_sixes",1.4142135623731,"low",2400,"low",275000,"high",40000,"low",400
"male","6",20,"f",0,"two_sixes",7.07106781186548,"high",4000,"high",3e+06,"high",30000,"high",20000
"female","6",19,"f",0,"two_sixes",4.47213595499958,"high",5489,"low",256895,"low",2156,"high",250
"male","6",18,"f",0,"three_sixes",2.82842712474619,"high",4050,"low",4e+05,"low",4000,"low",1100
"male","6",18,"f",0,"three_sixes",1.4142135623731,"low",1800,"low",200012,"low",2100,"low",110
"male","6",18,"f",0,"three_sixes",2,"high",4500,"high",3e+06,"low",3400,"high",20000
"male","6",19,"m",0,"two_sixes",1.4142135623731,"low",2500,"low",NA,"high",30000,"low",NA
"male","6",20,"f",0,"three_sixes",2,"high",5260,"low",236745,"low",2336,"high",43109
"male","6",18,"f",0,"two_sixes",10,"low",1550,"high",3e+06,"high",39000,"high",49500
"male","6",18,"m",0,"three_sixes",2.23606797749979,"high",5000,"high",3500000,"low",NA,"high",1000
"male","6",18,"f",0,"two_sixes",2.44948974278318,"high",3500,"low",4e+05,"high",30500,"low",500
"male","6",18,"f",0,"three_sixes",NA,"low",5000,"low",250000,"low",40000,"low",400
"male","6",25,"f",0,"three_sixes",1.73205080756888,"high",3600,"low",NA,"low",NA,"high",24000
"male","6",21,"f",0,"three_sixes",1.4142135623731,"high",4500,"high",4e+06,"low",5000,"high",25000
"male","6",18,"f",0,"three_sixes",2.64575131106459,"high",5890,"low",1e+06,"high",42500,"high",16000
"male","6",20,"m",0,"three_sixes",0,"low",3200,"high",4500000,"high",38000,"low",20000
"male","6",18,"f",0,"three_sixes",2.44948974278318,"low",NA,"low",3e+05,"low",35000,"low",NA
"male","6",19,"f",0,"three_sixes",2.23606797749979,"low",NA,"low",250000,"high",45000,"high",10000
"male","6",19,"f",0,"three_sixes",1.4142135623731,"high",5500,"low",NA,"low",3000,"high",1000
"male","6",20,"f",0,"two_sixes",1.4142135623731,"low",NA,"high",4500000,"high",25000,"low",250
"male","6",20,"m",0,"three_sixes",2.23606797749979,"low",1800,"high",4000001,"low",NA,"low",5500
"male","6",24,"f",0,"two_sixes",2.64575131106459,"high",5000,"low",1e+06,"high",40000,"high",35000
"male","6",18,"f",0,"two_sixes",NA,"high",4000,"low",250000,"low",3000,"low",NA
"male","6",18,"f",0,"two_sixes",3.16227766016838,"low",3000,"high",1500000,"low",NA,"high",30000
"male","6",18,"f",0,"two_sixes",1.73205080756888,"low",2000,"high",3e+06,"low",30000,"high",35000
"male","6",18,"f",0,"three_sixes",2.23606797749979,"high",3000,"low",350000,"low",5000,"high",20000
"male","6",18,"f",0,"two_sixes",1.73205080756888,"high",4000,"low",6e+05,"low",5000,"low",150
"male","6",18,"m",0,"three_sixes",1.73205080756888,"low",3600,"low",7e+05,"low",7000,"high",1000
"male","6",22,"f",0,"two_sixes",1.73205080756888,"high",3000,"high",2e+06,"high",45000,"high",20000
"male","6",19,"f",0,"two_sixes",1.4142135623731,"low",NA,"high",4250000,"high",40000,"high",29000
