"state","city","violent.crime","burglary","total.population","male.population","female.population","ratio","crime.per.capita"
"Maine","Bangor",76,253,33039,15919,17120,0.481824510427071,0.00230031175277702
"Illinois","Decatur",352,921,76122,35642,40480,0.468222064580542,0.0046241559601692
"Pennsylvania","Berwick",25,148,10477,5000,5477,0.477235849957049,0.00238617924978524
"Pennsylvania","Scranton",252,641,76089,36647,39442,0.481633350418589,0.00331191105153176
"Illinois","Rock Island",222,217,39018,18717,20301,0.479701676149469,0.00568968168537598
"Wisconsin","Sheboygan",170,262,49288,24414,24874,0.495333549748417,0.00344911540334361
"Connecticut","Norwich",99,274,40493,19597,20896,0.483960190650236,0.00244486701405181
"Illinois","Moline",176,204,43483,21018,22465,0.483361313616816,0.00404755881608905
"Pennsylvania","Wilkes-Barre",172,271,41498,20281,21217,0.488722348064967,0.00414477806159333
"Connecticut","New London",366,183,27620,13644,13976,0.493989862418537,0.0132512671976828
"Rhode Island ","Providence",1133,1929,178042,85802,92240,0.481919996405343,0.00636366699992137
"Illinois","Danville",328,659,33027,16526,16501,0.500378478214794,0.00993126835619342
"Wisconsin","Janesville",179,339,63575,31102,32473,0.489217459693276,0.00281557215886748
"New Jersey","Bridgeton",322,484,25349,14576,10773,0.575012821018581,0.0127026707167936
"Connecticut","New Haven",1870,1451,129779,62508,67271,0.481649573505729,0.0144091108730997
"Ohio","Canton",729,1590,73007,34591,38416,0.473803881819552,0.00998534387113565
"Ohio","Massillon",66,353,32149,15579,16570,0.484587389965473,0.00205294099349902
"Alabama","Oxford",62,179,17197,8269,8928,0.480839681339769,0.00360527999069605
"Pennsylvania","Altoona",163,226,46320,22239,24081,0.480116580310881,0.00351899827288428
"Pennsylvania","Erie",458,1095,101786,49126,52660,0.482640048729688,0.00449963649224844
"Pennsylvania","Gettysburg",27,24,7620,3670,3950,0.481627296587927,0.00354330708661417
"West Virginia","Vienna",13,19,10749,5053,5696,0.470090240952647,0.00120941482928645
"Missouri","Saint Louis",5661,4986,319294,154171,165123,0.482849662066935,0.0177297412416143
"Maine","Lewiston",80,328,36592,17590,19002,0.480706165282029,0.00218627022299956
"Ohio","Lima",466,618,38771,20481,18290,0.528255654999871,0.0120192927703696
"West Virginia","Parkersburg",146,433,31492,14965,16527,0.475200050806554,0.00463609805664931
"Michigan","Warren",715,999,134056,64884,69172,0.484006683773945,0.00533359193173002
"New Jersey","Ocean City",15,88,11701,5499,6202,0.469959832492949,0.00128194171438339
"Indiana","Gary",728,1634,80294,36926,43368,0.459884922908312,0.00906667995117942
"Michigan","Monroe",108,234,20733,9753,10980,0.470409492114021,0.00520908696281291
"Indiana","La Porte",28,188,22053,10640,11413,0.482474039813177,0.00126966852582415
"Indiana","South Bend",622,1744,101168,48982,52186,0.484164953344931,0.00614818915071959
"Indiana","Michigan City",120,325,31479,16182,15297,0.514056990374535,0.00381206518631469
"Maine","Auburn",47,179,23055,11136,11919,0.483018867924528,0.00203860333983951
"Indiana","Mishawaka",160,501,48252,22703,25549,0.470508994445826,0.00331592472850866
"North Carolina","Lenoir",51,231,18228,8674,9554,0.475861312266842,0.00279789335088874
"Alabama","Anniston",504,912,23106,10649,12457,0.460875962953345,0.0218125162295508
"Illinois","Peoria",919,1420,115007,54763,60244,0.476171015677307,0.00799081795021173
"Wisconsin","Racine",374,1101,78860,38465,40395,0.487763124524474,0.00474258179051484
"Ohio","Cincinnati",2887,5483,296943,142672,154271,0.480469315659908,0.00972240463658008
"Michigan","East Lansing",116,215,48579,23574,25005,0.485271413573766,0.00238786306840404
"Illinois","Kankakee",237,348,27537,13475,14062,0.489341613102371,0.00860660202636453
"New York","Binghamton",315,558,47376,23218,24158,0.490079365079365,0.00664893617021277
"Alabama","Gadsden",372,835,36856,17489,19367,0.474522465812893,0.0100933362274799
"Massachusetts","Pittsfield",191,372,44737,21472,23265,0.47996065896238,0.00426939669624695
"Indiana","Muncie",258,690,70085,33306,36779,0.475222943568524,0.00368124420346722
"New York","Niagara Falls",619,750,50193,23946,26247,0.477078477078477,0.0123323969477816
"Maine","Portland",173,411,66194,32306,33888,0.488050276460102,0.00261352992718373
"New York","Utica",411,591,62235,29924,32311,0.480822688197959,0.00660400096408773
"Illinois","Champaign",741,722,81055,41256,39799,0.508987724384677,0.00914194065757819
"New York","Albany",802,887,97856,47319,50537,0.483557472204055,0.00819571615434925
"Maine","South Portland",49,108,25002,11919,13083,0.47672186225102,0.001959843212543
"Virginia","Hampton",314,758,137436,65750,71686,0.47840449372799,0.00228469978753747
"Michigan","Lansing",1078,1307,114297,55332,58965,0.484107194414552,0.00943156863259753
"Connecticut","Hartford",1655,1050,124775,60260,64515,0.48294930875576,0.0132638749749549
"West Virginia","Beckley",189,335,17614,8201,9413,0.465595548995118,0.0107301010559782
"New York","Rome",46,133,33725,17324,16401,0.513684210526316,0.0013639733135656
"Ohio","Akron",1759,3429,199110,96257,102853,0.483436291497162,0.00883431269147707
"Indiana","Kokomo",177,462,45468,21286,24182,0.468153426585731,0.00389284771707575
"Illinois","Rockford",2083,2224,152871,73867,79004,0.483198252121069,0.0136258675615388
"Maryland","Cumberland",166,317,20859,9808,11051,0.47020470779999,0.00795819550314013
"New Jersey","Hammonton",15,60,14791,7360,7431,0.49759989182611,0.00101413021431952
"Ohio","Toledo",3352,6729,287208,138973,148235,0.483875797331551,0.0116709840951506
