"expgender","exprace","numparticipants","age","sex","lab_or_online","us_or_international","gambfalgroup","gambfalDV","anch1group","anchoring1","anch2group","anchoring2","anch3group","anchoring3","anch4group","anchoring4","gainlossgroup","gainlossDV","sunkcosta","sunkcostb","reciprocityothera","reciprocityothera.1","reciprocityusa","reciprocityusb","sunkgroup","sunkDV","gainlossgroup.1","gainlossDV.1","quoteGroup","quote","ContactGroup","Imagineddv","IATexpmath","IATexpart","IATexp.overall","d_art"
"male","6","5",18,"f",0,0,0,3.16227766016838,0,NA,1,9e+05,1,30000,1,10000,0,1,9,NA,1,1,1,NA,0,9,0,1,1,9,1,7,2.5,5.5,5.5,0.360161457691847
"male","6","5",19,"f",0,0,0,6,0,NA,0,NA,1,30000,0,5000,0,2,9,NA,NA,NA,NA,1,0,9,0,2,0,4,1,4,4.16666666666667,3.66666666666667,3.75,0.581444847764639
"male","6","5",18,"f",0,0,1,2.23606797749979,0,5000,0,4e+05,0,5000,1,25000,1,2,NA,3,NA,NA,NA,1,1,3,1,2,1,6,0,3.5,5.16666666666667,6,4.41666666666667,0.131484638983778
"male","6","5",18,"m",0,0,0,2,1,3000,0,3e+05,0,2400,0,400,0,1,6,NA,NA,NA,NA,1,0,6,0,1,1,3,0,4.5,3.66666666666667,5,4.66666666666667,0.744463326542704
"male","6",".",18,"m",0,0,1,3.46410161513775,0,1750,1,3500000,0,NA,0,156,1,2,9,NA,NA,NA,NA,2,0,9,1,2,1,7,0,1.5,3,4,4.5,0.0115336979637312
"male","6","5",18,"f",0,0,0,2.23606797749979,0,NA,0,3e+05,0,10000,0,NA,0,1,NA,9,1,1,1,NA,1,9,0,1,1,2,0,4.75,6,5,3.5,0.130769393429992
"male","6","5",18,"f",0,0,1,3.16227766016838,1,3000,0,NA,1,25000,0,300,1,1,NA,9,1,1,1,NA,1,9,1,1,1,5,1,4,2.66666666666667,5.33333333333333,5.33333333333333,0.845209463062227
"male","6","5",19,"m",0,0,0,3.16227766016838,0,2000,1,4900000,1,43300,1,1000,0,1,NA,7,NA,NA,NA,1,1,7,0,1,1,5,1,3,6,4.66666666666667,3.33333333333333,0.034177470524869
"male","6","9",21,"m",0,0,0,1.73205080756888,0,3000,0,NA,0,NA,0,NA,0,2,NA,9,NA,NA,NA,1,1,9,0,2,0,6,1,8,3.16666666666667,7,5.91666666666667,0.558535739254573
"male","6","1",21,"f",0,0,0,2.23606797749979,0,NA,0,250000,1,45000,1,35000,0,2,9,NA,1,1,1,NA,0,9,0,2,0,9,1,2.75,3,6.83333333333333,5.91666666666667,1.04127858872729
"male","6","3",18,"f",0,0,1,2.23606797749979,0,3000,1,3e+06,0,5000,1,30000,0,1,NA,3,1,1,2,NA,1,3,0,1,0,2,1,5.5,2.66666666666667,5.83333333333333,5.58333333333333,0.360377187303815
"male","6","3",18,"f",0,0,0,1.73205080756888,0,NA,0,1e+06,1,45000,1,136,0,2,NA,4,NA,NA,NA,1,1,4,0,2,1,3,1,5.25,3.16666666666667,6.16666666666667,5.5,-0.316108240536468
"male","6","3",18,"f",0,0,1,6,0,NA,0,850000,1,35000,1,15000,0,2,9,NA,NA,NA,NA,2,0,9,0,2,0,5,0,5.25,3.16666666666667,7,5.91666666666667,1.00793875568728
"male","6","3",18,"f",0,0,1,6,0,NA,1,3e+06,1,20000,0,500,1,NA,NA,9,1,1,1,NA,1,9,1,NA,0,5,0,6,3.16666666666667,3.66666666666667,4.25,-0.473005799193842
"male","6","3",18,"f",0,0,1,3.16227766016838,0,4500,0,5e+05,0,20000,1,40000,1,1,NA,9,NA,NA,NA,1,1,9,1,1,0,2,0,8,2.66666666666667,7,6.16666666666667,0.921575925423416
"female","10","9",19,"f",0,0,1,3.16227766016838,0,3000,0,3e+05,1,35000,0,300,1,1,6,NA,NA,NA,NA,2,0,6,1,1,0,5,1,3.75,3,6.16666666666667,5.58333333333333,0.426062042100181
"male","6","9",31,"f",0,0,1,1.73205080756888,1,4000,0,200500,1,45300,1,45000,0,2,7,NA,1,1,1,NA,0,7,0,2,0,5,1,3.5,2.5,6.66666666666667,6.08333333333333,0.547230756690675
"male","6","9",23,"f",0,0,1,2.44948974278318,0,2500,1,4200000,0,NA,0,NA,1,2,NA,9,2,2,2,NA,1,9,1,2,0,9,1,5,3.66666666666667,4.66666666666667,4.5,0.893926590999525
"male","6","9",18,"f",0,0,0,1,1,3000,1,2e+06,0,7050,0,323,0,2,NA,1,NA,NA,NA,2,1,1,0,2,1,9,0,1,3,4,4.5,0.320491403332173
"male","6","9",23,"f",0,0,0,1.4142135623731,1,3000,0,300500,1,45000,1,25000,1,1,NA,4,NA,NA,NA,1,1,4,1,1,1,5,1,7.75,4,5,4.5,0.495847179159044
"male","6","9",18,"f",0,0,0,2,0,NA,0,NA,1,37000,0,300,1,1,NA,7,NA,NA,NA,1,1,7,1,1,1,9,0,5.75,5.33333333333333,7,4.83333333333333,-0.0642432155846038
"male","6","9",19,"f",0,0,1,1,0,2500,0,7e+05,0,4000,0,353,1,1,NA,9,2,2,2,NA,1,9,1,1,0,9,0,4.25,3,5.33333333333333,5.16666666666667,-0.216627140284886
"male","6","9",20,"f",0,0,0,2,0,NA,0,NA,0,NA,1,35000,1,2,9,NA,2,2,2,NA,0,9,1,2,0,4,1,4.75,2.66666666666667,6,5.66666666666667,1.1215742184235
"male","6","9",20,"m",0,0,1,2.23606797749979,1,2000,1,780000,1,42000,1,10000,0,2,7,NA,1,1,2,NA,0,7,0,2,1,4,1,5.25,5.5,5.16666666666667,3.83333333333333,-0.836691782998749
"male","6","9",19,"m",0,0,1,3.16227766016838,0,1800,0,250000,0,NA,1,1000,0,1,9,NA,NA,NA,NA,1,0,9,0,1,0,1,1,3.5,6.33333333333333,6.33333333333333,4,0.174957786348946
"male","6","9",20,"f",0,0,1,10,0,3500,1,2e+06,0,7000,1,15000,1,1,NA,9,NA,NA,NA,1,1,9,1,1,0,5,1,5.75,7,7,4,-0.300082796810257
"male","6","9",20,"f",0,0,1,2.23606797749979,1,3400,1,425600,1,30432,0,563,1,1,NA,9,NA,NA,NA,2,1,9,1,1,0,3,0,3.25,5.66666666666667,5,3.66666666666667,1.17087428665075
"male","6","9",19,"f",0,0,0,3.46410161513775,1,2500,1,3e+06,0,8000,0,NA,0,1,NA,9,NA,NA,NA,1,1,9,0,1,1,5,0,4.25,2.8,7,6.18181818181818,0.92431165187334
"male","6","9",20,"m",0,0,1,14.6628782986152,1,5000,0,350000,1,37000,1,20000,1,1,NA,9,NA,NA,NA,1,1,9,1,1,1,2,1,2.5,5.5,6.33333333333333,4.41666666666667,0.153596098188711
"female","6","3",18,"m",0,0,1,1.73205080756888,1,5500,1,4e+06,1,25000,0,NA,0,2,NA,5,1,1,2,NA,1,5,0,2,1,8,1,3.5,4.16666666666667,4.16666666666667,4,0.512468857218543
"female","6",".",19,"m",0,0,0,NA,1,3000,1,4500000,1,40000,1,32000,0,1,NA,9,NA,NA,NA,2,1,9,0,1,0,4,1,2.75,4.33333333333333,5.5,4.58333333333333,-0.333545542143543
"female","6","3",20,"f",0,0,0,1.73205080756888,1,3000,1,9e+05,1,40000,1,25000,1,2,9,NA,NA,NA,NA,2,0,9,1,2,0,5,1,6.5,3,7,6,0.394583155399143
"female","6","3",22,"m",0,0,0,2.44948974278318,0,5000,1,3200000,0,NA,1,20000,0,2,NA,7,NA,NA,NA,1,1,7,0,2,0,7,0,6,2.66666666666667,6.16666666666667,5.75,-0.408730768341645
"female","6","3",18,"f",0,0,1,4.24264068711928,0,5432,0,250000,0,3000,1,500,0,2,NA,8,1,1,1,NA,1,8,0,2,1,4,1,4.25,6,2.33333333333333,2.16666666666667,-0.103416736274455
"female","6","2",20,"m",0,0,0,2.64575131106459,0,3000,0,450000,1,40000,0,500,1,1,8,NA,1,1,1,NA,0,8,1,1,0,1,1,2.75,4.83333333333333,6.16666666666667,4.66666666666667,-0.0693865241434345
"female","6","2",19,"m",0,0,1,1,0,3000,1,2e+06,0,5000,1,350,0,2,NA,1,1,1,2,NA,1,1,0,2,0,1,1,4.5,5.66666666666667,5.5,3.91666666666667,-0.47883818878969
"female","6","3",18,"m",0,0,0,NA,0,NA,1,2e+06,1,5000,0,NA,1,1,9,NA,NA,NA,NA,1,0,9,1,1,0,9,0,1.5,5.5,6.33333333333333,4.41666666666667,0.266863346949264
"male","6","7",19,"f",0,0,0,1.73205080756888,1,5000,0,4e+05,0,5000,0,500,0,2,9,NA,NA,NA,NA,1,0,9,0,2,1,5,1,4.25,2.83333333333333,6.83333333333333,6,0.0542811825812417
"male","6","7",19,"f",0,0,0,3.16227766016838,1,4000,0,450000,0,10000,0,200,0,2,NA,9,NA,NA,NA,2,1,9,0,2,1,9,1,5,3.16666666666667,7,5.91666666666667,1.12485675159476
"male","6","7",19,"f",0,0,1,10,0,NA,1,4e+06,0,15000,1,1000,1,2,9,NA,NA,NA,NA,1,0,9,1,2,0,1,1,1.25,3,7,6,0.710965450176251
