"Arrogant","Creative","Confident","Desirable","Humorous","Decision","Female","Age","Rater.Age","word.count"
1,5,4,3,3,1,1,35,27,53
2,4,6,5,4,2,1,25,38,83
6,2,5,3,4,1,1,21,30,60
1,2,3,3,1,1,1,19,35,91
4,3,3,3,2,1,1,29,26,155
1,6,3,4,2,1,1,19,50,47
1,5,6,6,3,2,1,25,33,73
1,6,6,6,NA,2,1,35,46,112
3,6,5,5,4,2,1,23,28,137
5,5,5,3,3,1,1,24,21,163
5,2,4,1,3,1,1,45,28,85
7,6,7,4,4,1,1,35,31,103
1,2,3,3,1,1,1,24,34,76
6,4,4,4,4,1,1,34,33,94
3,4,5,4,4,1,1,34,28,120
2,3,4,3,4,1,1,37,27,105
4,4,4,5,4,2,1,29,27,84
3,5,3,2,2,1,1,25,23,53
3,6,5,5,4,2,1,26,43,145
1,5,5,6,4,2,1,21,28,94
2,4,4,6,4,2,1,26,33,124
6,3,6,3,2,1,1,22,24,66
6,1,5,4,3,2,1,19,23,89
2,5,6,5,4,1,1,22,39,110
3,4,4,2,1,1,1,48,24,110
2,4,7,7,2,2,1,33,30,157
5,6,4,1,6,1,1,33,19,93
4,5,5,4,5,1,1,31,36,89
4,2,6,3,3,1,1,27,32,142
2,4,4,3,2,1,1,22,35,90
5,2,6,3,2,1,1,33,29,55
4,5,4,4,4,1,1,37,36,72
3,6,6,5,6,2,1,19,44,43
1,4,6,6,5,2,1,34,31,138
2,2,5,2,2,1,1,34,23,38
2,4,3,3,2,1,1,19,32,106
1,6,6,6,1,2,1,22,26,77
4,5,4,5,4,2,1,38,22,83
1,7,4,3,1,1,1,23,26,91
1,1,3,3,2,1,1,26,25,58
4,6,5,4,3,2,1,23,27,84
2,6,4,4,3,1,1,21,35,47
4,5,6,5,4,2,1,24,42,185
1,2,2,3,3,1,1,26,21,42
3,7,7,2,3,1,1,22,29,132
1,3,2,2,3,1,1,40,31,68
4,3,4,3,2,1,1,27,43,163
2,4,6,6,2,1,1,32,33,94
2,6,6,5,6,2,1,NA,18,158
1,6,6,4,7,1,1,19,40,138
1,7,6,6,5,2,1,25,35,129
5,7,6,2,5,1,1,29,41,118
3,6,4,4,5,1,1,45,31,91
5,5,7,5,3,2,1,31,37,129
4,4,5,4,5,2,1,20,22,193
5,3,5,3,3,1,1,33,41,158
2,6,5,5,5,2,1,18,41,186
2,7,3,4,6,1,1,28,33,60
3,6,6,5,4,2,1,24,33,73
1,4,4,5,4,2,1,18,28,84
3,5,5,5,7,2,1,27,25,75
2,2,2,2,2,1,1,18,34,77
2,4,3,3,4,2,1,33,44,69
NA,2,5,2,2,1,1,36,31,108
3,2,3,2,2,1,1,30,29,114
3,7,6,6,6,2,1,23,46,167
3,4,5,3,4,1,1,21,35,58
2,3,3,2,3,1,1,24,29,106
5,7,7,4,7,1,1,28,31,111
3,6,7,7,6,2,1,22,46,111
1,3,3,4,2,1,1,27,31,74
3,6,7,5,3,2,1,21,26,97
1,1,5,1,1,1,1,19,28,46
1,6,6,2,3,1,1,26,27,109
1,2,6,3,1,2,1,27,25,55
1,1,4,2,1,1,1,28,28,90
1,4,4,4,6,1,1,28,44,133
3,6,5,4,3,1,1,23,26,38
2,4,5,6,4,2,1,28,26,90
2,5,6,6,6,2,1,24,28,101
1,2,2,1,1,1,1,24,22,108
2,3,5,5,3,1,1,18,49,88
1,5,4,5,4,2,1,25,37,172
1,2,5,5,2,2,1,31,35,41
4,5,5,5,4,2,1,24,21,137
4,5,3,5,5,2,1,23,31,101
1,4,4,5,4,2,1,24,39,44
1,1,1,1,1,1,1,32,25,103
2,5,5,5,6,2,1,36,39,60
3,7,5,4,4,1,1,50,41,104
4,6,6,5,4,2,1,40,31,106
3,5,5,2,3,1,1,18,32,132
2,6,6,5,4,2,1,34,31,56
3,2,4,1,4,1,1,22,23,110
3,4,5,5,3,2,1,24,26,96
3,7,6,6,5,2,1,43,31,123
5,2,5,3,2,1,1,21,20,101
2,6,5,5,3,2,1,30,30,59
2,4,7,7,6,2,1,26,27,58
4,5,4,5,3,1,1,22,21,77
2,2,2,3,1,1,1,29,22,57
2,6,6,6,6,2,1,25,41,74
6,2,6,4,3,1,1,26,31,93
1,7,5,3,4,1,1,25,37,115
5,5,6,5,5,1,1,27,35,73
1,6,2,3,4,1,1,19,26,102
6,3,7,3,3,1,1,28,23,68
3,5,3,3,3,1,1,22,25,201
3,3,5,3,3,1,1,19,27,65
6,1,5,1,1,1,1,19,23,82
6,5,4,4,3,1,1,45,22,125
5,1,3,2,1,1,1,36,28,150
2,2,6,2,4,1,1,21,28,63
3,2,4,3,3,1,1,27,30,105
1,3,6,4,3,2,1,30,28,57
1,1,2,1,2,1,1,37,34,34
2,4,5,3,3,2,1,24,27,131
2,2,3,3,1,1,1,25,22,59
1,5,4,4,2,2,1,26,29,127
2,4,4,3,2,1,1,29,28,67
5,3,4,2,2,1,1,22,24,228
5,3,5,2,3,1,1,33,23,131
5,2,4,1,3,1,1,29,28,66
4,4,4,4,4,1,1,27,41,136
2,4,5,2,4,1,1,35,31,108
4,4,5,3,4,1,1,41,33,76
2,4,4,2,3,1,1,48,27,127
4,6,5,6,6,2,1,25,23,44
6,7,4,4,7,1,1,27,40,46
2,3,3,4,3,2,1,22,28,87
1,7,5,7,4,2,1,43,32,102
3,5,3,3,4,2,1,33,37,143
1,7,7,6,6,2,1,22,26,39
1,4,5,1,3,1,1,30,21,163
4,6,6,7,6,2,1,23,41,83
1,5,4,5,5,2,1,28,32,154
6,2,5,1,3,1,1,22,24,69
4,5,5,5,4,2,1,39,47,91
7,4,7,5,2,1,1,25,29,162
5,5,5,5,5,2,1,23,31,40
3,2,6,2,4,1,1,37,41,76
6,5,4,1,2,2,1,31,29,106
1,5,4,4,2,2,1,21,22,85
4,3,5,3,2,1,1,21,36,58
5,7,7,6,7,2,1,36,28,50
1,4,6,5,6,1,1,24,23,95
6,3,5,3,3,1,1,27,24,136
6,4,7,3,3,1,1,22,50,67
4,6,6,6,5,2,1,26,35,54
3,2,5,6,3,2,1,24,35,91
6,4,5,4,3,2,1,36,27,103
2,2,3,2,2,1,1,25,35,37
3,5,6,5,4,2,1,34,21,101
3,4,4,4,4,2,1,32,27,131
3,5,6,5,5,2,1,28,28,103
3,5,5,2,4,1,1,21,24,124
2,5,6,6,5,2,1,26,28,65
7,7,7,1,3,1,1,33,28,63
6,7,7,6,7,2,1,25,23,95
6,7,7,7,6,2,1,32,45,117
2,6,5,6,4,2,1,20,47,78
4,4,5,5,6,2,1,28,30,101
1,1,6,5,2,1,1,24,46,70
1,1,4,1,3,1,1,41,28,67
3,4,3,3,4,1,1,23,37,81
3,4,5,4,4,1,1,45,37,52
3,5,6,5,5,2,1,23,28,49
6,1,6,1,2,1,1,19,27,133
4,6,6,4,5,2,1,27,27,52
4,2,7,5,3,2,1,35,38,69
2,4,7,5,2,1,1,33,46,92
3,7,6,7,7,2,1,31,28,72
2,5,5,3,4,1,1,46,28,47
2,3,3,3,2,2,1,26,44,87
2,2,3,2,1,1,1,27,26,77
1,3,5,5,4,2,1,27,32,61
5,5,6,6,4,2,1,30,24,118
1,1,7,1,1,1,1,26,38,95
3,6,5,4,3,2,1,35,48,72
3,4,6,4,5,1,1,25,35,98
4,3,5,3,4,1,1,24,48,84
4,4,4,5,4,2,1,33,22,128
2,2,3,2,2,1,1,31,36,129
3,4,4,4,5,1,1,49,26,94
1,5,4,4,5,1,1,24,35,79
3,5,6,7,4,2,1,31,21,159
4,5,5,4,5,2,1,32,19,93
2,6,3,4,6,2,1,31,25,110
1,5,5,4,5,2,1,37,34,66
3,4,5,5,4,1,1,39,25,162
