"nation","nation_religiosity","age","nation_education","mf_harm","mf_fairness","mf_ingroup","mf_authority","mf_purity","mf_harm_group","mf_fairness_group","mf_purity_group","mf_ingroup_group","mf_authority_group"
"Australia",32,17,981,5,4.25,4.4,4.6,4,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,6,5.25,6,4,3.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,5.75,3.75,5,3.6,4.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,20,981,4.75,3.5,3,3.6,4.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,4.75,5.5,4.6,2.8,3.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,5.5,4.75,4,3.4,5.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,4.5,5,4.4,3.6,3.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,24,981,5,4.25,3.6,3.6,4.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,30,981,5.25,4.25,4.2,4.2,3,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,19,981,5.75,4.5,3.6,2.6,4,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,24,981,3.5,5,2.2,4.2,4.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,28,981,6,5,3.6,3.2,2.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,21,981,5.25,5.25,4,3.2,3,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,21,981,5,3.5,2.4,2.8,5.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,24,981,5,4.5,3.8,3.6,2.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,23,981,5.25,4.75,3.6,2.8,3,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,22,981,5,5.75,4.6,4,4.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,19,981,6,4.75,3.8,3.8,5.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,25,981,4.75,4,3.4,3.2,3.5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,22,981,4.75,5,5.4,4.8,4.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,19,981,5.25,4.5,2.8,3,2,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,5,3.5,2.8,2.6,1.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,19,981,6,3,2.8,4.4,4.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,6,4.75,4.2,3.6,1.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,5.25,4.25,5.2,5,5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,21,981,5,4.5,4.4,4.8,4.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,21,981,5.75,4.5,5,4.8,5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,24,981,5.5,6,5.4,5.2,5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,26,981,6,6,4.8,4,6,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,25,981,6,4.75,4.6,3,3.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,19,981,4.75,3,3,4,4,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,21,981,4.75,4,4.4,4,4,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,22,981,2.25,3.75,5.4,4.6,1.75,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,24,981,4.75,4,5,3.6,3.25,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
"Australia",32,18,981,5.33333333333333,4.75,4.8,4.4,4.5,5.25670498084291,4.57183908045977,3.89942528735632,4.22068965517241,3.79655172413793
