"pid","age","gender","subject","emotion","authenticity","status","charisma","page_time"
132944,25,2,4,"E","a",3,5,22.304
8495925,44,1,4,"E","a",4,3,56.439
7851935,49,2,4,"E","a",5,5,60.232
9034432,35,2,4,"E","a",7,7,83.077
2094409,39,1,4,"E","a",5,4,33.773
9357926,38,1,4,"E","a",3,3,39.003
5041230,30,1,4,"E","a",5,4,45.745
7330136,34,1,4,"E","a",7,6,39.741
2276476,25,2,4,"E","a",3,4,94.699
7189953,36,2,4,"E","a",5,6,41.291
8995818,68,2,4,"E","a",4,6,72.303
2690286,36,2,4,"E","a",1,2,54.812
4856039,33,2,4,"E","a",6,4,65.189
952975,41,2,4,"E","a",4,4,134.518
2534739,30,1,4,"E","a",5,5,75.986
16883,34,2,4,"E","a",4,4,46.238
1687498,47,2,4,"E","a",2,7,182.734
967291,49,1,4,"E","a",2,6,64.905
3888420,28,1,4,"E","a",4,3,93.135
9925742,49,1,4,"E","a",3,3,61.451
9050288,24,2,4,"E","a",3,5,50.449
1955626,27,2,4,"E","a",4,6,59.582
1094078,35,1,4,"E","a",5,2,103.453
7986196,24,1,4,"E","a",7,5,35.756
7019352,43,2,4,"E","a",5,5,45.844
4690881,24,2,4,"E","a",4,4,60.311
8306200,34,1,4,"E","a",4,5,57.475
1460786,40,2,4,"E","a",2,2,111.31
8765050,36,2,4,"E","a",3,6,167.517
7969711,69,2,4,"E","a",4,4,175.161
4623082,24,1,4,"E","a",4,4,79.765
8225731,38,2,4,"E","a",6,5,107.978
5917799,42,2,4,"E","a",6,7,51.118
3227263,37,2,4,"E","a",4,4,50.573
6974566,46,2,4,"E","a",5,5,130.318
804893,40,1,4,"E","a",3,5,22.373
4894309,25,2,4,"E","a",7,1,19.224
7922361,25,1,4,"E","a",4,5,68.537
2329135,35,2,4,"E","a",3,4,58.047
5119631,56,1,4,"E","a",2,6,89.789
3880459,30,1,4,"E","a",4,3,56.428
7511126,30,1,4,"E","a",5,5,30.331
553305,44,2,4,"E","a",5,6,166.28
7793541,63,1,4,"E","a",6,5,75.035
625916,35,1,4,"E","a",5,5,34.959
825891,54,2,4,"E","a",4,4,101.152
9677725,37,2,4,"E","a",4,5,65.934
7821551,25,2,4,"E","a",5,6,36.48
4393898,57,1,4,"E","a",2,1,69.293
4242415,65,1,4,"E","a",4,4,52.166
6091886,28,1,4,"E","a",6,6,45.209
5020416,50,1,4,"E","a",6,6,61.982
3861915,29,2,4,"E","a",4,3,55.399
3328013,30,1,4,"E","a",2,3,50.096
4845583,39,1,4,"E","a",4,4,43.819
9728570,19,1,4,"E","a",3,5,43.713
6088116,20,1,4,"E","a",4,6,48.111
5015741,35,2,4,"E","a",6,6,37.376
4520380,29,2,4,"E","a",5,5,44.869
6335150,57,1,4,"E","a",5,6,85.532
6592661,19,1,4,"E","a",6,4,20.061
4915940,32,1,4,"E","a",5,2,108.248
5451244,32,2,4,"E","a",5,7,30.234
2757963,29,1,4,"E","a",4,4,40.516
2435212,27,1,4,"E","a",4,4,54.866
8086226,30,2,4,"E","a",7,6,40.705
2275982,23,1,4,"E","a",4,4,31.773
4598653,23,2,4,"E","a",2,5,56.067
2499553,48,2,4,"E","a",5,5,41.002
3174258,64,2,4,"E","a",5,5,52.098
9665673,25,1,4,"E","a",6,5,47.929
1321495,38,2,4,"E","a",4,4,34.543
1885900,31,1,4,"E","a",5,5,17
2103773,24,1,4,"E","a",5,6,14.187
2095467,22,1,4,"E","a",5,5,53.129
1549920,22,2,4,"E","a",3,3,62.748
2998841,21,2,4,"E","a",7,6,96.51
6950339,25,1,4,"E","a",3,5,164.91
9696664,31,2,4,"E","a",5,7,63.879
1496268,38,2,4,"E","a",4,2,127.35
201824,46,2,4,"E","a",2,7,99.253
6998931,54,1,4,"E","a",4,3,105.898
4443433,30,2,4,"E","a",5,7,69.002
3947197,20,1,4,"E","a",4,3,70.514
5547114,28,1,4,"E","a",7,7,31.896
3017615,68,2,4,"E","a",5,5,62.289
2623763,20,1,4,"E","a",5,4,44.451
4751786,26,1,4,"E","a",5,3,68.463
3722992,25,1,4,"E","a",4,3,14.495
5027832,35,2,4,"E","a",6,6,138.682
6094563,29,1,4,"E","a",4,5,63.437
9204114,24,2,4,"E","a",4,5,59.737
1285728,37,2,4,"E","a",5,7,51.491
3972370,28,1,4,"E","a",5,4,73.477
3980850,38,2,4,"E","a",4,4,45.442
3747235,26,2,4,"E","a",5,5,29.454
4727503,25,1,4,"E","a",5,5,50.454
7768415,26,1,4,"E","i",4,4,43.839
6977209,28,1,4,"E","i",5,5,21.25
263878,31,1,4,"E","i",3,3,59.675
563933,29,2,4,"E","i",3,3,58.762
4004405,34,1,4,"E","i",5,2,54.422
3276120,28,2,4,"E","i",4,4,54.18
7954512,23,2,4,"E","i",1,1,52.133
4036846,30,1,4,"E","i",4,2,71.271
1404186,32,1,4,"E","i",5,5,56.328
6220726,23,1,4,"E","i",5,3,24.794
7639413,35,2,4,"E","i",3,3,45.935
5522501,26,2,4,"E","i",3,4,51.049
4597567,20,1,4,"E","i",5,5,68.981
7905132,23,1,4,"E","i",4,5,63.649
1280266,59,1,4,"E","i",2,5,78.983
5442697,24,1,4,"E","i",4,6,41.583
9048056,42,1,4,"E","i",6,6,85.527
8911376,52,2,4,"E","i",5,7,69.18
2489600,33,1,4,"E","i",4,5,68.664
6455300,41,2,4,"E","i",6,5,68.033
3254833,32,2,4,"E","i",4,6,65.091
4540929,29,2,4,"E","i",4,5,120.225
146827,32,2,4,"E","i",4,5,56.325
7120347,46,1,4,"E","i",3,4,76.544
6172275,26,2,4,"E","i",4,3,96.792
5511592,31,2,4,"E","i",4,4,54.892
1149847,33,2,4,"E","i",5,3,139.07
1584129,34,2,4,"E","i",2,2,86.849
1663753,26,2,4,"E","i",4,3,55.537
7742678,25,1,4,"E","i",1,2,37.734
8623111,20,1,4,"E","i",6,6,46.066
110329,62,2,4,"E","i",2,2,162.687
3060207,25,2,4,"E","i",2,1,81.795
2501490,30,1,4,"E","i",1,3,43.216
3008527,33,2,4,"E","i",5,7,80.008
8685161,24,1,4,"E","i",5,5,33.766
5035966,61,2,4,"E","i",3,2,62.929
4488801,63,2,4,"E","i",2,2,94.706
2772843,21,2,4,"E","i",6,6,30.648
318539,29,1,4,"E","i",4,3,61.103
5331001,38,2,4,"E","i",1,1,61
7218046,59,2,4,"E","i",3,3,110.097
1585966,34,2,4,"E","i",4,4,92.646
7905251,62,2,4,"E","i",5,7,89.543
5050714,31,2,4,"E","i",4,4,63.638
9815106,41,1,4,"E","i",3,2,41.468
6786809,23,1,4,"E","i",3,4,13.24
9008802,24,2,4,"E","i",3,1,44.48
4610537,36,1,4,"E","i",2,2,37.218
2966096,75,2,4,"E","i",6,6,89.207
7742488,31,2,4,"E","i",6,4,14.02
2470879,38,1,4,"E","i",4,3,54.221
9055826,40,1,4,"E","i",4,3,42.062
5784368,26,2,4,"E","i",4,2,54.938
7686433,46,2,4,"E","i",1,5,125.007
9735234,35,1,4,"E","i",1,3,86.734
6940357,42,2,4,"E","i",1,1,35.203
9618344,59,2,4,"E","i",4,3,73.631
4640663,34,2,4,"E","i",3,3,41.768
1154800,46,2,4,"E","i",4,4,134.11
4760970,19,1,4,"E","i",2,4,60.314
3108916,27,2,4,"E","i",5,4,86.488
4472886,34,1,4,"E","i",4,5,21.14
99025,28,1,4,"E","i",1,3,54.682
3894117,26,2,4,"E","i",4,4,126.58
7673980,39,1,4,"E","i",4,4,29.05
8286994,30,1,4,"E","i",3,1,56.42
993245,55,2,4,"E","i",4,4,85.044
8418786,46,1,4,"E","i",4,5,67.523
7318364,46,1,4,"E","i",4,3,73.739
9216410,30,2,4,"E","i",4,4,42.573
3741810,38,1,4,"E","i",4,5,42.682
2759629,25,2,4,"E","i",4,6,54.483
5983925,21,1,4,"E","i",4,5,60.548
1943057,29,2,4,"E","i",3,1,55.51
1678545,57,2,4,"E","i",4,5,71.542
9840937,41,1,4,"E","i",2,2,79.249
3295583,26,2,4,"E","i",2,5,34.398
6945661,27,1,4,"E","i",4,5,72.748
7536729,33,1,4,"E","i",5,4,19.221
1127161,18,1,4,"E","i",4,5,60.283
4825854,43,1,4,"E","i",5,2,37.545
8662451,32,1,4,"E","i",4,5,66.332
5499588,30,1,4,"E","i",2,3,82.001
5025724,43,1,4,"E","i",5,5,105.379
1018310,33,2,4,"E","i",1,7,70.899
89415,23,1,4,"E","i",4,4,104.705
8745052,34,1,4,"E","i",2,4,72.838
5796086,24,1,4,"E","i",6,6,30.044
4860791,22,1,4,"E","i",5,5,98.666
1569209,21,3,4,"E","i",7,3,59.591
