"year","school","exam","perc.free.meals","perc.vr.band","female","VR.band.student","ethnic","school.gender","school.denom"
1,1,17,24,18,0,2,1,"mixed",1
1,1,5,24,18,0,2,1,"mixed",1
1,1,16,24,18,0,2,1,"mixed",1
1,1,12,24,18,0,2,1,"mixed",1
1,1,7,24,18,0,2,1,"mixed",1
1,1,20,24,18,1,2,1,"mixed",1
1,1,15,24,18,1,2,1,"mixed",1
1,1,16,24,18,1,3,1,"mixed",1
1,1,26,24,18,1,2,1,"mixed",1
1,1,5,24,18,1,2,1,"mixed",1
1,1,18,24,18,0,2,1,"mixed",1
1,1,24,24,18,1,1,1,"mixed",1
1,1,9,24,18,1,2,1,"mixed",1
1,1,15,24,18,1,3,1,"mixed",1
1,1,31,24,18,1,1,1,"mixed",1
1,1,7,24,18,0,2,5,"mixed",1
1,1,11,24,18,1,2,1,"mixed",1
1,1,29,24,18,1,1,1,"mixed",1
1,1,22,24,18,0,2,1,"mixed",1
1,1,28,24,18,1,1,1,"mixed",1
1,1,27,24,18,0,1,1,"mixed",1
1,1,5,24,18,0,2,1,"mixed",1
1,1,17,24,18,0,2,1,"mixed",1
1,1,15,24,18,0,2,1,"mixed",1
1,1,5,24,18,0,2,1,"mixed",1
1,1,18,24,18,1,2,10,"mixed",1
1,1,21,24,18,1,2,1,"mixed",1
1,1,22,24,18,1,1,1,"mixed",1
1,1,6,24,18,0,3,1,"mixed",1
1,1,8,24,18,1,3,1,"mixed",1
1,1,9,24,18,0,3,1,"mixed",1
1,1,22,24,18,1,2,1,"mixed",1
1,1,10,24,18,1,2,1,"mixed",1
1,1,17,24,18,1,3,1,"mixed",1
1,1,19,24,18,0,2,1,"mixed",1
1,1,30,24,18,1,2,2,"mixed",1
1,1,27,24,18,0,1,9,"mixed",1
1,1,2,24,18,1,2,1,"mixed",1
1,1,2,24,18,0,2,1,"mixed",1
1,1,26,24,18,0,1,1,"mixed",1
1,1,22,24,18,1,2,1,"mixed",1
1,1,4,24,18,0,3,1,"mixed",1
1,1,11,24,18,1,2,1,"mixed",1
1,1,5,24,18,0,1,1,"mixed",1
1,1,14,24,18,1,2,1,"mixed",1
1,1,8,24,18,1,2,1,"mixed",1
1,1,30,24,18,0,1,1,"mixed",1
1,1,18,24,18,1,2,1,"mixed",1
1,1,7,24,18,0,3,5,"mixed",1
1,1,10,24,18,0,2,1,"mixed",1
1,1,12,24,18,1,3,5,"mixed",1
1,1,16,24,18,0,2,1,"mixed",1
1,1,17,24,18,1,1,1,"mixed",1
1,1,17,24,18,0,1,1,"mixed",1
1,1,24,24,18,1,2,1,"mixed",1
1,1,39,24,18,0,3,9,"mixed",1
1,1,22,24,18,0,1,1,"mixed",1
1,1,3,24,18,0,3,9,"mixed",1
1,1,16,24,18,0,2,1,"mixed",1
1,1,19,24,18,1,2,1,"mixed",1
1,1,16,24,18,0,1,1,"mixed",1
1,1,5,24,18,0,2,1,"mixed",1
1,1,16,24,18,1,2,3,"mixed",1
1,1,18,24,18,0,1,1,"mixed",1
1,1,31,24,18,1,2,1,"mixed",1
1,1,23,24,18,0,2,1,"mixed",1
1,1,18,24,18,1,2,1,"mixed",1
1,1,30,24,18,1,1,1,"mixed",1
1,1,50,24,18,0,1,7,"mixed",1
1,1,4,24,18,1,3,1,"mixed",1
1,1,25,24,18,1,2,1,"mixed",1
1,1,13,24,18,1,2,1,"mixed",1
1,1,32,24,18,0,2,1,"mixed",1
1,1,26,24,18,1,1,1,"mixed",1
1,1,8,24,18,1,2,1,"mixed",1
1,1,18,24,18,1,1,1,"mixed",1
1,1,23,24,18,0,1,1,"mixed",1
