"P","SOA","freq","primetype","prime","target","RT"
501,"SOA47","L","PDISS","accegory","ACCESSORY",1017
504,"SOA47","L","PDISS","accegory","ACCESSORY",804
507,"SOA47","L","PDISS","accegory","ACCESSORY",471
510,"SOA47","L","PDISS","accegory","ACCESSORY",585
516,"SOA47","L","PDISS","accegory","ACCESSORY",649
519,"SOA47","L","PDISS","accegory","ACCESSORY",398
522,"SOA47","L","PDISS","accegory","ACCESSORY",772
525,"SOA47","L","PDISS","accegory","ACCESSORY",513
528,"SOA47","L","PDISS","accegory","ACCESSORY",559
503,"SOA47","L","PSIM","accesory","ACCESSORY",498
509,"SOA47","L","PSIM","accesory","ACCESSORY",602
511,"SOA47","L","PSIM","accesory","ACCESSORY",380
515,"SOA47","L","PSIM","accesory","ACCESSORY",430
517,"SOA47","L","PSIM","accesory","ACCESSORY",663
521,"SOA47","L","PSIM","accesory","ACCESSORY",527
523,"SOA47","L","PSIM","accesory","ACCESSORY",968
527,"SOA47","L","PSIM","accesory","ACCESSORY",520
535,"SOA47","L","PSIM","accesory","ACCESSORY",539
541,"SOA47","L","PSIM","accesory","ACCESSORY",592
502,"SOA47","L","UN","sarcastic","ACCESSORY",576
506,"SOA47","L","UN","sarcastic","ACCESSORY",652
508,"SOA47","L","UN","sarcastic","ACCESSORY",680
512,"SOA47","L","UN","sarcastic","ACCESSORY",470
514,"SOA47","L","UN","sarcastic","ACCESSORY",503
520,"SOA47","L","UN","sarcastic","ACCESSORY",468
524,"SOA47","L","UN","sarcastic","ACCESSORY",489
526,"SOA47","L","UN","sarcastic","ACCESSORY",530
530,"SOA47","L","UN","sarcastic","ACCESSORY",633
536,"SOA47","L","UN","sarcastic","ACCESSORY",702
319,"SOA80","L","PDISS","accegory","ACCESSORY",568
325,"SOA80","L","PDISS","accegory","ACCESSORY",621
328,"SOA80","L","PDISS","accegory","ACCESSORY",543
331,"SOA80","L","PDISS","accegory","ACCESSORY",545
334,"SOA80","L","PDISS","accegory","ACCESSORY",530
337,"SOA80","L","PDISS","accegory","ACCESSORY",1039
338,"SOA80","L","PDISS","accegory","ACCESSORY",588
346,"SOA80","L","PDISS","accegory","ACCESSORY",378
355,"SOA80","L","PDISS","accegory","ACCESSORY",481
321,"SOA80","L","PSIM","accesory","ACCESSORY",1871
323,"SOA80","L","PSIM","accesory","ACCESSORY",445
327,"SOA80","L","PSIM","accesory","ACCESSORY",549
329,"SOA80","L","PSIM","accesory","ACCESSORY",804
333,"SOA80","L","PSIM","accesory","ACCESSORY",514
335,"SOA80","L","PSIM","accesory","ACCESSORY",476
339,"SOA80","L","PSIM","accesory","ACCESSORY",456
345,"SOA80","L","PSIM","accesory","ACCESSORY",656
347,"SOA80","L","PSIM","accesory","ACCESSORY",618
357,"SOA80","L","PSIM","accesory","ACCESSORY",596
324,"SOA80","L","UN","sarcastic","ACCESSORY",492
326,"SOA80","L","UN","sarcastic","ACCESSORY",1352
330,"SOA80","L","UN","sarcastic","ACCESSORY",875
332,"SOA80","L","UN","sarcastic","ACCESSORY",968
336,"SOA80","L","UN","sarcastic","ACCESSORY",583
344,"SOA80","L","UN","sarcastic","ACCESSORY",966
348,"SOA80","L","UN","sarcastic","ACCESSORY",570
350,"SOA80","L","UN","sarcastic","ACCESSORY",485
501,"SOA47","L","PDISS","accoistic","ACOUSTIC",540
504,"SOA47","L","PDISS","accoistic","ACOUSTIC",1163
507,"SOA47","L","PDISS","accoistic","ACOUSTIC",488
510,"SOA47","L","PDISS","accoistic","ACOUSTIC",719
513,"SOA47","L","PDISS","accoistic","ACOUSTIC",644
516,"SOA47","L","PDISS","accoistic","ACOUSTIC",522
519,"SOA47","L","PDISS","accoistic","ACOUSTIC",500
522,"SOA47","L","PDISS","accoistic","ACOUSTIC",711
525,"SOA47","L","PDISS","accoistic","ACOUSTIC",500
503,"SOA47","L","PSIM","accoustic","ACOUSTIC",660
509,"SOA47","L","PSIM","accoustic","ACOUSTIC",966
511,"SOA47","L","PSIM","accoustic","ACOUSTIC",828
515,"SOA47","L","PSIM","accoustic","ACOUSTIC",611
517,"SOA47","L","PSIM","accoustic","ACOUSTIC",436
521,"SOA47","L","PSIM","accoustic","ACOUSTIC",414
523,"SOA47","L","PSIM","accoustic","ACOUSTIC",635
527,"SOA47","L","PSIM","accoustic","ACOUSTIC",956
535,"SOA47","L","PSIM","accoustic","ACOUSTIC",574
541,"SOA47","L","PSIM","accoustic","ACOUSTIC",595
502,"SOA47","L","UN","expansive","ACOUSTIC",825
506,"SOA47","L","UN","expansive","ACOUSTIC",792
508,"SOA47","L","UN","expansive","ACOUSTIC",970
512,"SOA47","L","UN","expansive","ACOUSTIC",623
520,"SOA47","L","UN","expansive","ACOUSTIC",486
524,"SOA47","L","UN","expansive","ACOUSTIC",654
526,"SOA47","L","UN","expansive","ACOUSTIC",879
530,"SOA47","L","UN","expansive","ACOUSTIC",540
536,"SOA47","L","UN","expansive","ACOUSTIC",605
319,"SOA80","L","PDISS","accoistic","ACOUSTIC",706
322,"SOA80","L","PDISS","accoistic","ACOUSTIC",980
325,"SOA80","L","PDISS","accoistic","ACOUSTIC",686
328,"SOA80","L","PDISS","accoistic","ACOUSTIC",391
331,"SOA80","L","PDISS","accoistic","ACOUSTIC",588
334,"SOA80","L","PDISS","accoistic","ACOUSTIC",628
338,"SOA80","L","PDISS","accoistic","ACOUSTIC",762
346,"SOA80","L","PDISS","accoistic","ACOUSTIC",504
355,"SOA80","L","PDISS","accoistic","ACOUSTIC",490
321,"SOA80","L","PSIM","accoustic","ACOUSTIC",919
323,"SOA80","L","PSIM","accoustic","ACOUSTIC",643
327,"SOA80","L","PSIM","accoustic","ACOUSTIC",523
329,"SOA80","L","PSIM","accoustic","ACOUSTIC",1150
333,"SOA80","L","PSIM","accoustic","ACOUSTIC",675
335,"SOA80","L","PSIM","accoustic","ACOUSTIC",352
339,"SOA80","L","PSIM","accoustic","ACOUSTIC",671
345,"SOA80","L","PSIM","accoustic","ACOUSTIC",557
357,"SOA80","L","PSIM","accoustic","ACOUSTIC",501
320,"SOA80","L","UN","expansive","ACOUSTIC",857
324,"SOA80","L","UN","expansive","ACOUSTIC",585
326,"SOA80","L","UN","expansive","ACOUSTIC",1502
330,"SOA80","L","UN","expansive","ACOUSTIC",898
332,"SOA80","L","UN","expansive","ACOUSTIC",617
344,"SOA80","L","UN","expansive","ACOUSTIC",942
348,"SOA80","L","UN","expansive","ACOUSTIC",586
350,"SOA80","L","UN","expansive","ACOUSTIC",571
354,"SOA80","L","UN","expansive","ACOUSTIC",1426
501,"SOA47","L","PDISS","aquarnt","ACQUAINT",617
504,"SOA47","L","PDISS","aquarnt","ACQUAINT",1147
507,"SOA47","L","PDISS","aquarnt","ACQUAINT",683
510,"SOA47","L","PDISS","aquarnt","ACQUAINT",626
519,"SOA47","L","PDISS","aquarnt","ACQUAINT",494
525,"SOA47","L","PDISS","aquarnt","ACQUAINT",609
503,"SOA47","L","PSIM","aquaint","ACQUAINT",491
515,"SOA47","L","PSIM","aquaint","ACQUAINT",625
517,"SOA47","L","PSIM","aquaint","ACQUAINT",815
521,"SOA47","L","PSIM","aquaint","ACQUAINT",541
523,"SOA47","L","PSIM","aquaint","ACQUAINT",1669
527,"SOA47","L","PSIM","aquaint","ACQUAINT",1493
535,"SOA47","L","PSIM","aquaint","ACQUAINT",536
508,"SOA47","L","UN","evacuate","ACQUAINT",826
512,"SOA47","L","UN","evacuate","ACQUAINT",1130
514,"SOA47","L","UN","evacuate","ACQUAINT",759
526,"SOA47","L","UN","evacuate","ACQUAINT",624
319,"SOA80","L","PDISS","aquarnt","ACQUAINT",1002
322,"SOA80","L","PDISS","aquarnt","ACQUAINT",1401
325,"SOA80","L","PDISS","aquarnt","ACQUAINT",714
328,"SOA80","L","PDISS","aquarnt","ACQUAINT",585
331,"SOA80","L","PDISS","aquarnt","ACQUAINT",596
334,"SOA80","L","PDISS","aquarnt","ACQUAINT",695
337,"SOA80","L","PDISS","aquarnt","ACQUAINT",587
338,"SOA80","L","PDISS","aquarnt","ACQUAINT",549
346,"SOA80","L","PDISS","aquarnt","ACQUAINT",492
323,"SOA80","L","PSIM","aquaint","ACQUAINT",1187
327,"SOA80","L","PSIM","aquaint","ACQUAINT",762
329,"SOA80","L","PSIM","aquaint","ACQUAINT",760
335,"SOA80","L","PSIM","aquaint","ACQUAINT",518
339,"SOA80","L","PSIM","aquaint","ACQUAINT",1303
347,"SOA80","L","PSIM","aquaint","ACQUAINT",710
357,"SOA80","L","PSIM","aquaint","ACQUAINT",792
320,"SOA80","L","UN","evacuate","ACQUAINT",1577
326,"SOA80","L","UN","evacuate","ACQUAINT",995
330,"SOA80","L","UN","evacuate","ACQUAINT",1008
336,"SOA80","L","UN","evacuate","ACQUAINT",771
344,"SOA80","L","UN","evacuate","ACQUAINT",862
350,"SOA80","L","UN","evacuate","ACQUAINT",526
501,"SOA47","L","PDISS","adhurent","ADHERENT",579
504,"SOA47","L","PDISS","adhurent","ADHERENT",589
507,"SOA47","L","PDISS","adhurent","ADHERENT",453
510,"SOA47","L","PDISS","adhurent","ADHERENT",612
513,"SOA47","L","PDISS","adhurent","ADHERENT",802
516,"SOA47","L","PDISS","adhurent","ADHERENT",759
519,"SOA47","L","PDISS","adhurent","ADHERENT",506
522,"SOA47","L","PDISS","adhurent","ADHERENT",673
525,"SOA47","L","PDISS","adhurent","ADHERENT",516
528,"SOA47","L","PDISS","adhurent","ADHERENT",717
503,"SOA47","L","PSIM","adherant","ADHERENT",545
509,"SOA47","L","PSIM","adherant","ADHERENT",482
511,"SOA47","L","PSIM","adherant","ADHERENT",697
515,"SOA47","L","PSIM","adherant","ADHERENT",548
517,"SOA47","L","PSIM","adherant","ADHERENT",675
521,"SOA47","L","PSIM","adherant","ADHERENT",735
523,"SOA47","L","PSIM","adherant","ADHERENT",812
527,"SOA47","L","PSIM","adherant","ADHERENT",1062
535,"SOA47","L","PSIM","adherant","ADHERENT",611
541,"SOA47","L","PSIM","adherant","ADHERENT",612
502,"SOA47","L","UN","impotent","ADHERENT",757
506,"SOA47","L","UN","impotent","ADHERENT",777
508,"SOA47","L","UN","impotent","ADHERENT",917
512,"SOA47","L","UN","impotent","ADHERENT",520
520,"SOA47","L","UN","impotent","ADHERENT",616
524,"SOA47","L","UN","impotent","ADHERENT",560
526,"SOA47","L","UN","impotent","ADHERENT",697
530,"SOA47","L","UN","impotent","ADHERENT",683
536,"SOA47","L","UN","impotent","ADHERENT",574
319,"SOA80","L","PDISS","adhurent","ADHERENT",690
322,"SOA80","L","PDISS","adhurent","ADHERENT",917
325,"SOA80","L","PDISS","adhurent","ADHERENT",703
328,"SOA80","L","PDISS","adhurent","ADHERENT",539
331,"SOA80","L","PDISS","adhurent","ADHERENT",653
334,"SOA80","L","PDISS","adhurent","ADHERENT",479
337,"SOA80","L","PDISS","adhurent","ADHERENT",545
338,"SOA80","L","PDISS","adhurent","ADHERENT",474
346,"SOA80","L","PDISS","adhurent","ADHERENT",617
355,"SOA80","L","PDISS","adhurent","ADHERENT",655
321,"SOA80","L","PSIM","adherant","ADHERENT",853
323,"SOA80","L","PSIM","adherant","ADHERENT",730
327,"SOA80","L","PSIM","adherant","ADHERENT",576
329,"SOA80","L","PSIM","adherant","ADHERENT",770
333,"SOA80","L","PSIM","adherant","ADHERENT",555
335,"SOA80","L","PSIM","adherant","ADHERENT",634
339,"SOA80","L","PSIM","adherant","ADHERENT",513
345,"SOA80","L","PSIM","adherant","ADHERENT",545
347,"SOA80","L","PSIM","adherant","ADHERENT",697
357,"SOA80","L","PSIM","adherant","ADHERENT",638
320,"SOA80","L","UN","impotent","ADHERENT",1151
324,"SOA80","L","UN","impotent","ADHERENT",605
326,"SOA80","L","UN","impotent","ADHERENT",646
330,"SOA80","L","UN","impotent","ADHERENT",817
332,"SOA80","L","UN","impotent","ADHERENT",682
344,"SOA80","L","UN","impotent","ADHERENT",987
350,"SOA80","L","UN","impotent","ADHERENT",577
503,"SOA47","M","PDISS","advusory","ADVISORY",678
506,"SOA47","M","PDISS","advusory","ADVISORY",513
509,"SOA47","M","PDISS","advusory","ADVISORY",686
512,"SOA47","M","PDISS","advusory","ADVISORY",500
515,"SOA47","M","PDISS","advusory","ADVISORY",677
521,"SOA47","M","PDISS","advusory","ADVISORY",969
524,"SOA47","M","PDISS","advusory","ADVISORY",417
527,"SOA47","M","PDISS","advusory","ADVISORY",561
530,"SOA47","M","PDISS","advusory","ADVISORY",419
536,"SOA47","M","PDISS","advusory","ADVISORY",528
502,"SOA47","M","PSIM","advisery","ADVISORY",527
504,"SOA47","M","PSIM","advisery","ADVISORY",756
508,"SOA47","M","PSIM","advisery","ADVISORY",578
510,"SOA47","M","PSIM","advisery","ADVISORY",657
514,"SOA47","M","PSIM","advisery","ADVISORY",457
516,"SOA47","M","PSIM","advisery","ADVISORY",748
520,"SOA47","M","PSIM","advisery","ADVISORY",490
526,"SOA47","M","PSIM","advisery","ADVISORY",608
528,"SOA47","M","PSIM","advisery","ADVISORY",1487
501,"SOA47","M","UN","exposure","ADVISORY",606
507,"SOA47","M","UN","exposure","ADVISORY",542
511,"SOA47","M","UN","exposure","ADVISORY",599
513,"SOA47","M","UN","exposure","ADVISORY",697
517,"SOA47","M","UN","exposure","ADVISORY",715
519,"SOA47","M","UN","exposure","ADVISORY",578
523,"SOA47","M","UN","exposure","ADVISORY",745
525,"SOA47","M","UN","exposure","ADVISORY",548
535,"SOA47","M","UN","exposure","ADVISORY",642
541,"SOA47","M","UN","exposure","ADVISORY",690
321,"SOA80","M","PDISS","advusory","ADVISORY",1232
324,"SOA80","M","PDISS","advusory","ADVISORY",495
327,"SOA80","M","PDISS","advusory","ADVISORY",568
330,"SOA80","M","PDISS","advusory","ADVISORY",826
333,"SOA80","M","PDISS","advusory","ADVISORY",532
336,"SOA80","M","PDISS","advusory","ADVISORY",456
345,"SOA80","M","PDISS","advusory","ADVISORY",511
