"PID","age","gender","national","race","relstat","E14a_Charisma","E14a_Competence","E14a_Confidence","E14a_Dominance","E14a_Successfulness","E14i_Charisma","E14i_Competence","E14i_Confidence","E14i_Dominance","E14i_Successfulness","E26a_Charisma","E26a_Competence","E26a_Confidence","E26a_Dominance","E26a_Successfulness","E26i_Charisma","E26i_Competence","E26i_Confidence","E26i_Dominance","E26i_Successfulness","E35a_Charisma","E35a_Competence","E35a_Confidence","E35a_Dominance","E35a_Successfulness","E35i_Charisma","E35i_Competence","E35i_Confidence","E35i_Dominance","E35i_Successfulness","E4a_Charisma","E4a_Competence","E4a_Confidence","E4a_Dominance","E4a_Successfulness","E4i_Charisma","E4i_Competence","E4i_Confidence","E4i_Dominance","E4i_Successfulness","E6a_Charisma","E6a_Competence","E6a_Confidence","E6a_Dominance","E6a_Successfulness","E6i_Charisma","E6i_Competence","E6i_Confidence","E6i_Dominance","E6i_Successfulness","E9a_Charisma","E9a_Competence","E9a_Confidence","E9a_Dominance","E9a_Successfulness","E9i_Charisma","E9i_Competence","E9i_Confidence","E9i_Dominance","E9i_Successfulness","S1a_Charisma","S1a_Competence","S1a_Confidence","S1a_Dominance","S1a_Successfulness","S1i_Charisma","S1i_Competence","S1i_Confidence","S1i_Dominance","S1i_Successfulness","S20a_Charisma","S20a_Competence","S20a_Confidence","S20a_Dominance","S20a_Successfulness","S20i_Charisma","S20i_Competence","S20i_Confidence","S20i_Dominance","S20i_Successfulness","S36a_Charisma","S36a_Competence","S36a_Confidence","S36a_Dominance","S36a_Successfulness","S36i_Charisma","S36i_Competence","S36i_Confidence","S36i_Dominance","S36i_Successfulness","S37a_Charisma","S37a_Competence","S37a_Confidence","S37a_Dominance","S37a_Successfulness","S37i_Charisma","S37i_Competence","S37i_Confidence","S37i_Dominance","S37i_Successfulness","S3a_Charisma","S3a_Competence","S3a_Confidence","S3a_Dominance","S3a_Successfulness","S3i_Charisma","S3i_Competence","S3i_Confidence","S3i_Dominance","S3i_Successfulness","S5a_Charisma","S5a_Competence","S5a_Confidence","S5a_Dominance","S5a_Successfulness","S5i_Charisma","S5i_Competence","S5i_Confidence","S5i_Dominance","S5i_Successfulness"
"132944","25",2,"american","black",1,NA,NA,NA,NA,NA,4,5,3,4,4,2,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,4,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,4,4,NA,NA,NA,NA,NA,5,2,4,4,5,4,3,6,4,5,NA,NA,NA,NA,NA,4,3,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,3,3,5,5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,6,4,5
"8495925","44",1,"USA","caucasian",3,5,4,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,3,4,NA,NA,NA,NA,NA,3,4,3,2,4,3,4,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,4,5,5,4,5,2,4,NA,NA,NA,NA,NA,3,4,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3,1,4,3,4,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,2,4,NA,NA,NA,NA,NA,3,4,3,2,4,3,4,3,3,3,NA,NA,NA,NA,NA
"7851935","49",2,"United States","White",3,5,6,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,5,6,NA,NA,NA,NA,NA,4,4,3,4,4,5,6,5,5,6,NA,NA,NA,NA,NA,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,5,4,6,5,6,6,5,6,NA,NA,NA,NA,NA,3,6,3,3,6,NA,NA,NA,NA,NA,4,6,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,4,5,NA,NA,NA,NA,NA,3,6,5,3,5,NA,NA,NA,NA,NA,4,4,2,4,4
"9034432","35",2,"American","mixed/multiracial",3,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,NA,NA,NA,NA,NA,2,4,4,4,4,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,5,7,7,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,1,7,2,3,2,NA,NA,NA,NA,NA
"2094409","39",1,"american","white",2,4,4,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,2,5,NA,NA,NA,NA,NA,4,5,5,2,4,4,5,5,3,5,NA,NA,NA,NA,NA,5,5,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,5,NA,NA,NA,NA,NA,5,5,5,3,5,3,3,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,2,5,5,5,5,3,5,NA,NA,NA,NA,NA,2,4,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,2,4
"9357926","38",1,"american","white",2,NA,NA,NA,NA,NA,4,4,4,3,4,6,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,5,3,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,4,5,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,4,NA,NA,NA,NA,NA,3,3,4,3,3,3,4,3,3,3,NA,NA,NA,NA,NA,2,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,4,3,4,3,3,4,NA,NA,NA,NA,NA
"5041230","30",1,"American","White",3,4,4,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,5,3,NA,NA,NA,NA,NA,3,3,5,3,2,4,3,4,4,4,NA,NA,NA,NA,NA,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,3,NA,NA,NA,NA,NA,5,3,5,4,4,5,2,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,4,3,NA,NA,NA,NA,NA,5,3,3,2,2,3,5,2,4,4,NA,NA,NA,NA,NA,5,5,4,3,4,NA,NA,NA,NA,NA
"7330136","34",1,"american","white",3,NA,NA,NA,NA,NA,7,7,6,5,7,7,6,5,3,5,NA,NA,NA,NA,NA,5,6,5,2,5,NA,NA,NA,NA,NA,6,7,7,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,2,4,NA,NA,NA,NA,NA,7,5,3,3,4,3,6,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,6,4,5,5,6,7,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,6,4,7,NA,NA,NA,NA,NA,1,5,3,5,3,1,4,3,1,2,NA,NA,NA,NA,NA
"2276476","25",2,"Albanian","Caucasian",2,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,NA,NA,NA,NA,NA,3,4,4,4,4,4,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,5,5,4,5,5,4,5,NA,NA,NA,NA,NA,4,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,NA,NA,NA,NA,NA,4,4,5,5,4,3,4,4,4,3,NA,NA,NA,NA,NA
"7189953","36",2,"american","asian",1,3,4,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,5,NA,NA,NA,NA,NA,2,4,4,3,3,6,5,6,4,5,NA,NA,NA,NA,NA,4,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,4,5,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,2,3,NA,NA,NA,NA,NA,4,5,5,3,3,NA,NA,NA,NA,NA,6,4,5,4,3,5,4,4,3,3,NA,NA,NA,NA,NA,3,4,4,2,3,NA,NA,NA,NA,NA
